 format: day,hour,forecast,value  location:97_75 Start : 20250101 
 2,0500,+21,25.000000 
 2,0500,+22,20.000000 
 2,0500,+23,15.000000 
 2,0500,+24,20.000000 
 2,0500,+25,20.000000 
 2,0500,+26,20.000000 
 2,0500,+27,25.000000 
 2,0500,+28,30.000000 
 2,0500,+29,35.000000 
 2,0500,+30,40.000000 
 2,0500,+31,40.000000 
 2,0500,+32,45.000000 
 2,0500,+33,45.000000 
 2,0500,+34,50.000000 
 2,0500,+35,50.000000 
 2,0500,+36,60.000000 
 2,0500,+37,60.000000 
 2,0500,+38,65.000000 
 2,0500,+39,65.000000 
 2,0500,+40,65.000000 
 2,0500,+41,65.000000 
 2,0500,+42,65.000000 
 2,0500,+43,55.000000 
 2,0500,+44,45.000000 
 2,0500,+45,40.000000 
 2,0500,+46,40.000000 
 2,0500,+47,35.000000 
 2,0500,+48,35.000000 
 2,0500,+49,35.000000 
 2,0500,+50,40.000000 
 2,0500,+51,40.000000 
 2,0500,+52,50.000000 
 2,0500,+53,50.000000 
 2,0500,+54,55.000000 
 2,0500,+55,55.000000 
 2,0500,+56,60.000000 
 2,0500,+57,60.000000 
 2,0500,+58,60.000000 
 2,0500,+61,65.000000 
 2,0500,+64,70.000000 
 2,0500,+67,60.000000 
 2,0500,+70,45.000000 
 2,0500,+73,45.000000 
 2,0500,+76,65.000000 
 2,0500,+79,75.000000 
 2,0500,+82,80.000000 
 2,0800,+6,35.000000 
 2,0800,+7,35.000000 
 2,0800,+8,35.000000 
 2,0800,+9,30.000000 
 2,0800,+10,30.000000 
 2,0800,+11,35.000000 
 2,0800,+12,35.000000 
 2,0800,+13,40.000000 
 2,0800,+14,40.000000 
 2,0800,+15,40.000000 
 2,0800,+16,35.000000 
 2,0800,+17,30.000000 
 2,0800,+18,20.000000 
 2,0800,+19,20.000000 
 2,0800,+20,15.000000 
 2,0800,+21,20.000000 
 2,0800,+22,20.000000 
 2,0800,+23,20.000000 
 2,0800,+24,25.000000 
 2,0800,+25,30.000000 
 2,0800,+26,35.000000 
 2,0800,+27,35.000000 
 2,0800,+28,40.000000 
 2,0800,+29,40.000000 
 2,0800,+30,45.000000 
 2,0800,+31,45.000000 
 2,0800,+32,55.000000 
 2,0800,+33,65.000000 
 2,0800,+34,65.000000 
 2,0800,+35,70.000000 
 2,0800,+36,65.000000 
 2,0800,+37,65.000000 
 2,0800,+38,60.000000 
 2,0800,+39,60.000000 
 2,0800,+40,50.000000 
 2,0800,+41,40.000000 
 2,0800,+42,35.000000 
 2,0800,+43,35.000000 
 2,0800,+44,30.000000 
 2,0800,+45,30.000000 
 2,0800,+46,35.000000 
 2,0800,+47,35.000000 
 2,0800,+48,40.000000 
 2,0800,+49,45.000000 
 2,0800,+50,50.000000 
 2,0800,+51,55.000000 
 2,0800,+52,55.000000 
 2,0800,+53,55.000000 
 2,0800,+54,55.000000 
 2,0800,+55,60.000000 
 2,0800,+56,60.000000 
 2,0800,+57,65.000000 
 2,0800,+58,65.000000 
 2,0800,+59,65.000000 
 2,0800,+60,65.000000 
 2,0800,+61,65.000000 
 2,0800,+62,60.000000 
 2,0800,+63,65.000000 
 2,0800,+64,60.000000 
 2,0800,+65,50.000000 
 2,0800,+66,50.000000 
 2,0800,+67,50.000000 
 2,0800,+68,50.000000 
 2,0800,+69,50.000000 
 2,0800,+70,55.000000 
 2,0800,+71,60.000000 
 2,0800,+72,70.000000 
 2,0800,+73,75.000000 
 2,0800,+74,80.000000 
 2,0800,+75,75.000000 
 2,0800,+76,80.000000 
 2,0800,+77,80.000000 
 2,0800,+78,85.000000 
 2,0800,+79,85.000000 
 2,0800,+82,85.000000 
 2,0800,+85,90.000000 
 2,0800,+88,85.000000 
 2,0800,+91,65.000000 
 2,0800,+94,50.000000 
 2,0800,+97,60.000000 
 2,0800,+100,65.000000 
 2,0800,+103,65.000000 
 2,1100,+6,30.000000 
 2,1100,+7,30.000000 
 2,1100,+8,35.000000 
 2,1100,+9,35.000000 
 2,1100,+10,40.000000 
 2,1100,+11,40.000000 
 2,1100,+12,40.000000 
 2,1100,+13,35.000000 
 2,1100,+14,30.000000 
 2,1100,+15,20.000000 
 2,1100,+16,20.000000 
 2,1100,+17,15.000000 
