 format: day,hour,forecast,value  location:98_79 Start : 20250101 
 2,1100,+74,3.000000 
 2,1100,+75,3.000000 
 2,1100,+76,2.000000 
 2,1100,+79,2.000000 
 2,1100,+82,1.000000 
 2,1100,+85,3.000000 
 2,1100,+88,10.000000 
 2,1100,+91,12.000000 
 2,1100,+94,5.000000 
 2,1100,+97,2.000000 
 2,1100,+100,0.000000 
 2,1400,+6,0.000000 
 2,1400,+7,-1.000000 
 2,1400,+8,-1.000000 
 2,1400,+9,-1.000000 
 2,1400,+10,0.000000 
 2,1400,+11,2.000000 
 2,1400,+12,4.000000 
 2,1400,+13,5.000000 
 2,1400,+14,6.000000 
 2,1400,+15,6.000000 
 2,1400,+16,6.000000 
 2,1400,+17,5.000000 
 2,1400,+18,4.000000 
 2,1400,+19,2.000000 
 2,1400,+20,0.000000 
 2,1400,+21,-1.000000 
 2,1400,+22,-1.000000 
 2,1400,+23,-2.000000 
 2,1400,+24,-2.000000 
 2,1400,+25,-2.000000 
 2,1400,+26,-2.000000 
 2,1400,+27,-3.000000 
 2,1400,+28,-3.000000 
 2,1400,+29,-3.000000 
 2,1400,+30,-4.000000 
 2,1400,+31,-4.000000 
 2,1400,+32,-4.000000 
 2,1400,+33,-4.000000 
 2,1400,+34,-1.000000 
 2,1400,+35,3.000000 
 2,1400,+36,5.000000 
 2,1400,+37,6.000000 
 2,1400,+38,7.000000 
 2,1400,+39,8.000000 
 2,1400,+40,8.000000 
 2,1400,+41,8.000000 
 2,1400,+42,6.000000 
 2,1400,+43,3.000000 
 2,1400,+44,1.000000 
 2,1400,+45,0.000000 
 2,1400,+46,-1.000000 
